NetID,Last Name,First Name,Email Address,Ceiling Score,Final Grade
dma58910,Anderson,Daisy,daisy.anderson@univ.edu,72.0,C
lba53221,Anderson,Lauren,lauren.anderson@univ.edu,75.0,C
vkb66346,Boyd,Victoria,victoria.boyd@univ.edu,73.0,C
lmb95641,Brock,Lauren,lauren.brock@univ.edu,81.0,B
ksb85997,Brown,Kelsey,kelsey.brown@univ.edu,80.0,B
cxc08121,Campbell,Charles,charles.campbell@univ.edu,85.0,B
lxc64780,Carter,Lorraine,lorraine.carter@univ.edu,79.0,C
amc28428,Cooper,Adam,adam.cooper@univ.edu,79.0,C
axc64717,Curry,Alec,alec.curry@univ.edu,81.0,B
wad63934,Daniel,William,william.daniel@univ.edu,78.0,C
axd11293,Daniels,Amber,amber.daniels@univ.edu,82.0,B
djd31335,Delgado,Desiree,desiree.delgado@univ.edu,69.0,D
rxd29805,Douglas,Robert,robert.douglas@univ.edu,77.0,C
axd31221,Dunlap,Angela,angela.dunlap@univ.edu,77.0,C
tce09928,Edwards,Timothy,timothy.edwards@univ.edu,70.0,C
bcf26283,Flores,Brandon,brandon.flores@univ.edu,79.0,C
rcf61653,Flores,Russell,russell.flores@univ.edu,81.0,B
dsg54218,Garcia,Desiree,desiree.garcia@univ.edu,77.0,C
hxg56446,Glover,Heidi,heidi.glover@univ.edu,74.0,C
smg03171,Good,Sherry,sherry.good@univ.edu,74.0,C
lxg35058,Gordon,Lori,lori.gordon@univ.edu,80.0,B
bjg14618,Graham,Benjamin,benjamin.graham@univ.edu,74.0,C
chh70562,Holt,Crystal,crystal.holt@univ.edu,78.0,C
mjj83180,James,Margaret,margaret.james@univ.edu,81.0,B
jxj82678,Johnson,Jamie,jamie.johnson@univ.edu,82.0,B
smj00936,Johnson,Stacy,stacy.johnson@univ.edu,77.0,C
txj17476,Johnson,Tara,tara.johnson@univ.edu,80.0,B
mxl12345,Lambert,Malaika,malaika.lambert@univ.edu,80.0,B
axl60952,Lester,Aaron,aaron.lester@univ.edu,72.0,C
asm59771,Martin,Ashley,ashley.martin@univ.edu,73.0,C
sem28474,Miller,Stephen,stephen.miller@univ.edu,76.0,C
bgm86325,Myers,Brian,brian.myers@univ.edu,77.0,C
cxn83965,Nguyen,Cindy,cindy.nguyen@univ.edu,73.0,C
jxo31236,Odom,John,john.odom@univ.edu,79.0,C
bkr19538,Reilly,Brandy,brandy.reilly@univ.edu,79.0,C
bxr62103,Reyes,Bailey,bailey.reyes@univ.edu,78.0,C
skr62062,Roberts,Steven,steven.roberts@univ.edu,77.0,C
akr14831,Rodriguez,Alexander,alexander.rodriguez@univ.edu,81.0,B
sbr74322,Rogers,Sherry,sherry.rogers@univ.edu,78.0,C
oxr30270,Rush,Oscar,oscar.rush@univ.edu,68.0,D
mxs33225,Scott,Michelle,michelle.scott@univ.edu,80.0,B
aes07091,Smith,Andrea,andrea.smith@univ.edu,80.0,B
sxs90647,Smith,Samantha,samantha.smith@univ.edu,74.0,C
lxs77616,Sparks,Leslie,leslie.sparks@univ.edu,78.0,C
mxs29840,Stevens,Marcia,marcia.stevens@univ.edu,88.0,B
mat59156,Taylor,Michael,michael.taylor@univ.edu,72.0,C
cxw68726,Watkins,Carol,carol.watkins@univ.edu,75.0,C
hsw06874,Watson,Holly,holly.watson@univ.edu,78.0,C
kxw26270,Williams,Kimberly,kimberly.williams@univ.edu,78.0,C
cxw91147,Wolf,Courtney,courtney.wolf@univ.edu,78.0,C
jxw87000,Woodard,John,john.woodard@univ.edu,78.0,C
