NetID,Last Name,First Name,Email Address,Ceiling Score,Final Grade
bmb94857,Bailey,Belinda,belinda.bailey@univ.edu,79.0,C
nsb43944,Bates,Nathan,nathan.bates@univ.edu,78.0,C
mxb67936,Benton,Michael,michael.benton@univ.edu,77.0,C
bxb28023,Bryan,Bradley,bradley.bryan@univ.edu,79.0,C
sxc85021,Cervantes,Scott,scott.cervantes@univ.edu,79.0,C
jgc21028,Clark,Jill,jill.clark@univ.edu,78.0,C
lxd16906,Davidson,Luke,luke.davidson@univ.edu,74.0,C
rxd55884,Dennis,Rachel,rachel.dennis@univ.edu,75.0,C
axd67070,Dunn,Amy,amy.dunn@univ.edu,80.0,B
nxe44872,Edwards,Nicole,nicole.edwards@univ.edu,78.0,C
pxe53402,Evans,Patricia,patricia.evans@univ.edu,74.0,C
jgf12345,Flower,Gregg,john.g.2.flower@univ.edu,73.0,C
axf16145,Foster,Ashlee,ashlee.foster@univ.edu,81.0,B
llf55044,Friedman,Linda,linda.friedman@univ.edu,73.0,C
abg77872,Greer,April,april.greer@univ.edu,80.0,B
dxj78877,Johnson,Dylan,dylan.johnson@univ.edu,74.0,C
pmj37756,Johnson,Paul,paul.johnson@univ.edu,80.0,B
rsj94156,Johnston,Robert,robert.johnston@univ.edu,74.0,C
sxj49423,Jones,Sarah,sarah.jones@univ.edu,83.0,B
dsl24347,Lee,Danielle,danielle.lee@univ.edu,76.0,C
tgl37922,Leon,Tammy,tammy.leon@univ.edu,79.0,C
kxm62826,Mccall,Kimberly,kimberly.mccall@univ.edu,79.0,C
axm26865,Miller,Anthony,anthony.miller@univ.edu,79.0,C
bxm17365,Miranda,Brett,brett.miranda@univ.edu,84.0,B
njp08545,Patterson,Nicole,nicole.patterson@univ.edu,84.0,B
jxp06435,Perez,Jeffrey,jeffrey.perez@univ.edu,77.0,C
mxp86000,Poole,Melissa,melissa.poole@univ.edu,83.0,B
rxp56459,Price,Ricardo,ricardo.price@univ.edu,82.0,B
txr84689,Ramirez,Timothy,timothy.ramirez@univ.edu,74.0,C
tbr17292,Raymond,Troy,troy.raymond@univ.edu,78.0,C
lcr30757,Reid,Laura,laura.reid@univ.edu,74.0,C
cxr98775,Reyes,Carol,carol.reyes@univ.edu,82.0,B
jxr10806,Reyes,Jason,jason.reyes@univ.edu,77.0,C
kpr82051,Rhodes,Kimberly,kimberly.rhodes@univ.edu,79.0,C
jsr21334,Rodriguez,John,john.rodriguez@univ.edu,78.0,C
sxs30610,Sampson,Stephanie,stephanie.sampson@univ.edu,78.0,C
fxs77894,Simpson,Felicia,felicia.simpson@univ.edu,84.0,B
cjs43553,Smith,Crystal,crystal.smith@univ.edu,77.0,C
ajt73762,Terry,Amy,amy.terry@univ.edu,73.0,C
bxt62105,Thomas,Brandon,brandon.thomas@univ.edu,71.0,C
hxw92728,Webb,Heather,heather.webb@univ.edu,69.0,D
alw07647,White,Amy,amy.white@univ.edu,85.0,B
lkw48972,Wilkerson,Levi,levi.wilkerson@univ.edu,83.0,B
